"SMP","X","Y","RAMA","SUBRAMA"
"069-093-025",-58.4735308315124,-34.6048216493845,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"069-096-001A",-58.4727279980412,-34.6025934514445,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-057-021B",-58.4687060215991,-34.6016782492821,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-057-030",-58.4676632995651,-34.6017972560189,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-059-004",-58.4669906457095,-34.599007015296,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-059-040",-58.4667210854891,-34.599127156806,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-061-009",-58.4663267778241,-34.5981734424306,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-075-011A",-58.4662804303105,-34.6020385716976,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-098-015A",-58.4651584713681,-34.5999605677812,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-098-023B",-58.464917461804,-34.5992616443669,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-074-001",-58.4654847678415,-34.6020443994021,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-093-022",-58.4630055574527,-34.6031237853927,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-094-029",-58.464522774771,-34.6027183831031,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-094-030",-58.4644325924479,-34.602737156184,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-097-008",-58.4635938658019,-34.6014148992492,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-097-043",-58.463112173957,-34.6008825640812,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-103-039",-58.4624696279722,-34.5986982817456,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-119A-001A",-58.4615197359231,-34.6031009004621,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-120-035",-58.4608597825451,-34.601244589585,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-121-018",-58.461154860652,-34.6007090824787,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"059-121-021",-58.4607960351073,-34.6009849219765,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-104-029",-58.4643440433446,-34.597184504528,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-105A-012",-58.4632707529631,-34.5981307769593,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-106-008",-58.4626001563184,-34.598161468066,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-124-031",-58.4596856649681,-34.597224571712,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-133-013",-58.4609277858241,-34.6025472297573,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-133-023C",-58.4611892844286,-34.6034639623303,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-133-028",-58.4605204748402,-34.6035071330054,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-133-031A",-58.4602912371576,-34.6037193677549,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-134-034",-58.45956778162,-34.6017913401188,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-136-004",-58.4598493845492,-34.5995303378172,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-137-023",-58.4594845885347,-34.5981817555951,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-003-026",-58.4690753945578,-34.5959682070687,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-010-006",-58.4683270451239,-34.5945009016517,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-010-012",-58.4681242608183,-34.5949449855771,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-012-016",-58.4666971031727,-34.5961412408711,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-019-026",-58.4668481446517,-34.5928160853994,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-019-035",-58.4663997570627,-34.5924428896714,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-024A-001A",-58.4669663388347,-34.5908510475601,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-016B-009",-58.4695498031692,-34.5921325207735,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-025A-011A",-58.4682662758635,-34.5908980348895,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
